Age x	lx	dx	px	qx	cv(qx)	Lx	Tx	ex	cv(ex)
37 years	97711	105	0.99893	0.00107	9.4	97659	4079085	41.75	0.11
38 years	97606	113	0.99884	0.00116	8.2	97549	3981426	40.79	0.12
39 years	97493	121	0.99875	0.00125	7.1	97433	3883877	39.84	0.12
40 years	97372	132	0.99864	0.00136	7.3	97306	3786444	38.89	0.12
41 years	97240	144	0.99852	0.00148	8.0	97167	3689138	37.94	0.12
42 years	97096	159	0.99837	0.00163	7.8	97017	3591971	36.99	0.13
43 years	96937	176	0.99818	0.00182	6.6	96848	3494954	36.05	0.13
44 years	96761	196	0.99798	0.00202	5.8	96663	3398106	35.12	0.13
45 years	96565	217	0.99775	0.00225	6.0	96457	3301443	34.19	0.14
46 years	96348	240	0.99751	0.00249	6.6	96228	3204986	33.26	0.14
47 years	96108	263	0.99726	0.00274	6.5	95977	3108758	32.35	0.14
48 years	95845	286	0.99702	0.00298	5.6	95702	3012781	31.43	0.15
49 years	95559	308	0.99678	0.00322	4.9	95405	2917079	30.53	0.15
50 years	95251	332	0.99651	0.00349	5.1	95084	2821674	29.62	0.15
51 years	94919	361	0.99620	0.00380	5.6	94739	2726590	28.73	0.16
52 years	94558	395	0.99582	0.00418	5.5	94361	2631851	27.83	0.16
53 years	94163	435	0.99538	0.00462	4.7	93946	2537490	26.95	0.17
54 years	93728	480	0.99488	0.00512	4.2	93488	2443544	26.07	0.17
55 years	93248	529	0.99432	0.00568	4.6	92983	2350056	25.20	0.18
56 years	92719	585	0.99370	0.00630	5.0	92427	2257073	24.34	0.18
57 years	92134	645	0.99299	0.00701	4.9	91811	2164646	23.49	0.19
58 years	91489	713	0.99221	0.00779	4.1	91132	2072835	22.66	0.19
59 years	90776	785	0.99136	0.00864	3.7	90383	1981703	21.83	0.20
60 years	89991	862	0.99043	0.00957	3.9	89560	1891320	21.02	0.20
61 years	89129	943	0.98941	0.01059	4.3	88658	1801760	20.22	0.21
62 years	88186	1032	0.98830	0.01170	4.2	87670	1713102	19.43	0.22
63 years	87154	1123	0.98712	0.01288	3.6	86592	1625432	18.65	0.22
64 years	86031	1214	0.98588	0.01412	3.2	85424	1538840	17.89	0.23
65 years	84817	1311	0.98454	0.01546	3.3	84161	1453416	17.14	0.24
66 years	83506	1417	0.98304	0.01696	3.6	82797	1369255	16.40	0.25
67 years	82089	1532	0.98134	0.01866	3.5	81324	1286458	15.67	0.26
68 years	80557	1651	0.97950	0.02050	3.0	79732	1205134	14.96	0.27
69 years	78906	1770	0.97757	0.02243	2.7	78021	1125402	14.26	0.28
70 years	77136	1895	0.97543	0.02457	2.8	76189	1047381	13.58	0.29
71 years	75241	2034	0.97296	0.02704	3.0	74224	971192	12.91	0.30
72 years	73207	2192	0.97006	0.02994	3.0	72111	896968	12.25	0.32
73 years	71015	2361	0.96675	0.03325	2.5	69834	824857	11.62	0.33
74 years	68654	2532	0.96312	0.03688	2.3	67388	755023	11.00	0.35
75 years	66122	2704	0.95911	0.04089	2.5	64770	687635	10.40	0.37
76 years	63418	2875	0.95466	0.04534	2.7	61980	622865	9.82	0.40
77 years	60543	3043	0.94975	0.05025	2.6	59022	560885	9.26	0.42
78 years	57500	3187	0.94456	0.05544	2.3	55906	501863	8.73	0.45
79 years	54313	3305	0.93915	0.06085	2.2	52660	445957	8.21	0.48
80 years	51008	3408	0.93319	0.06681	2.5	49304	393297	7.71	0.53
81 years	47600	3506	0.92635	0.07365	2.8	45847	343993	7.23	0.57
82 years	44094	3602	0.91832	0.08168	2.7	42293	298146	6.76	0.61
83 years	40492	3672	0.90930	0.09070	2.4	38656	255853	6.32	0.66
84 years	36820	3700	0.89952	0.10048	2.5	34970	217197	5.90	0.74
85 years	33120	3688	0.88865	0.11135	3.0	31276	182227	5.50	0.82
86 years	29432	3638	0.87638	0.12362	3.2	27613	150951	5.13	0.90
87 years	25794	3550	0.86237	0.13763	3.0	24019	123338	4.78	0.98
88 years	22244	3342	0.84979	0.15021	3.1	20573	99319	4.47	1.10
89 years	18902	3099	0.83601	0.16399	3.3	17353	78746	4.17	1.24
90 years	15803	2825	0.82128	0.17872	3.6	14390	61393	3.89	1.41
91 years	12978	2523	0.80557	0.19443	3.8	11717	47003	3.62	1.61
92 years	10455	2207	0.78888	0.21112	4.1	9351	35286	3.38	1.86
93 years	8248	1888	0.77118	0.22882	4.5	7304	25935	3.14	2.18
94 years	6360	1574	0.75246	0.24754	5.4	5573	18631	2.93	2.61
95 years	4786	1279	0.73272	0.26728	5.8	4147	13058	2.73	3.08
96 years 	3507	1010	0.71197	0.28803	6.5	3002	8911	2.54	3.74
97 years	2497	774	0.69020	0.30980	8.0	2110	5909	2.37	4.63
98 years	1723	573	0.66745	0.33255	8.9	1436	3799	2.20	5.70
99 years	1150	410	0.64373	0.35627	10.7	946	2363	2.05	7.30
100 years	740	282	0.61908	0.38092	14.1	599	1417	1.91	9.64
101 years	458	186	0.59353	0.40647	16.2	365	818	1.78	12.44
102 years	272	118	0.56714	0.43286	19.4	213	453	1.66	17.26
103 years	154	71	0.53996	0.46004	27.8	119	240	1.55	26.05
104 years	83	40	0.51205	0.48795	50.6	63	121	1.45	40.74
105 years	43	22	0.48347	0.51653	49.2	32	58	1.35	53.83
106 years	21	12	0.45431	F	F	15	26	1.26	93.95
107 years	9	5	0.42463	F	F	7	11	1.18	95.42
108 years	4	2	0.39452	F	F	2	4	1.11	91.46
							
									
